linux,DPDK,eBPF
0.496,1.02,0.551
0.537,0.945,0.530
0.546,0.956,0.532
0.541,1.03,0.680
0.478,0.866,0.577
0.487,0.946,0.507
0.541,1.02,0.596
0.554,0.942,0.550
0.533,1.13,0.649
0.499,1.03,0.598
0.428,0.913,0.608
0.533,0.890,0.573
0.548,1.04,0.620
0.539,0.927,0.614
0.494,0.921,0.502
0.532,0.930,0.529
0.540,0.965,0.643
0.421,0.894,0.555
0.399,1.05,0.623
0.475,1.03,0.635
0.490,0.914,0.609
0.542,0.969,0.544
0.447,1.03,1.37
0.543,1.01,0.545
0.479,0.936,0.528
0.486,1.05,0.586
0.540,0.973,0.802
0.544,0.894,0.558
0.544,1.01,0.516
0.485,1.04,0.623
0.491,0.900,0.589
0.539,1.08,0.643
0.551,1.03,0.601
0.533,0.870,0.622
0.495,0.993,0.593
0.432,0.921,0.904
0.538,0.850,0.554
0.424,0.881,0.610
0.435,0.861,0.521
0.470,1.06,0.589
0.492,0.940,0.596
0.423,1.06,0.570
0.557,0.977,0.636
0.560,0.882,0.611
0.478,0.929,0.733
0.489,1.04,0.492
0.427,1.02,0.579
0.545,0.939,0.645
0.556,0.938,0.638
0.482,1.03,0.656
0.495,0.866,0.619
0.532,1.06,0.601
0.442,1.04,0.619
0.558,0.887,0.662
0.471,0.990,0.645
0.498,1.03,0.527
0.541,1.00,0.634
0.541,0.970,0.538
0.537,1.04,0.617
0.486,0.971,0.618
0.492,0.924,0.526
0.541,0.954,0.622
0.547,1.04,0.556
0.543,0.909,0.622
0.490,0.995,0.527
0.543,1.05,0.626
0.540,0.914,0.619
0.424,0.997,0.680
0.428,0.853,0.507
0.480,0.855,0.624
0.498,0.918,0.598
0.539,0.929,0.501
0.547,1.05,0.678
0.544,0.872,0.512
0.486,0.999,0.607
0.492,1.03,0.586
0.545,0.928,0.715
0.554,0.924,0.605
0.537,0.912,0.567
0.487,0.914,0.495
0.428,0.851,0.618
0.424,0.939,0.914
0.548,1.03,0.508
0.419,0.886,0.564
0.482,1.12,0.586
0.491,0.979,0.589
0.537,0.913,0.571
0.548,0.947,0.618
0.531,1.04,0.567
0.493,0.969,0.541
0.494,0.927,0.738
0.545,0.934,0.546
0.421,1.03,0.636
0.431,0.905,0.624
0.475,1.05,0.547
0.488,1.03,0.924
0.537,0.927,0.551
0.555,1.05,0.521
0.546,1.02,0.604
0.487,1.03,0.713
0.491,0.867,0.532
0.427,1.05,0.608
0.550,1.05,0.518
0.534,0.948,0.602
0.492,0.930,0.700
0.541,1.03,0.516
0.533,0.880,0.636
0.416,1.04,0.574
0.540,1.05,0.613
0.493,0.869,0.597
0.534,0.935,0.613
0.545,0.975,0.615
0.424,0.990,0.619
0.429,0.922,1.11
0.489,0.931,0.555
0.429,1.02,0.621
0.531,0.879,0.567
0.544,1.07,0.703
0.539,1.02,0.503
0.506,0.885,0.625
0.535,1.03,0.575
0.536,0.973,0.597
0.430,1.03,0.622
0.426,0.885,0.599
0.473,1.08,0.617
0.496,0.972,0.576
0.540,0.922,0.572
0.545,0.913,0.596
0.542,1.04,0.598
0.500,0.870,0.631
0.487,1.05,0.588
0.429,1.02,0.626
0.547,0.947,0.606
0.434,0.916,0.655
0.475,0.911,0.523
0.493,0.908,0.664
0.536,0.854,0.760
0.546,0.950,0.509
0.409,1.02,0.617
0.480,0.885,0.585
0.497,1.05,0.582
0.535,1.04,0.609
0.434,0.887,0.535
0.555,0.915,0.503
0.475,1.05,0.599
0.492,1.04,0.589
0.540,0.865,0.605
0.442,0.952,0.632
0.501,1.02,0.560
0.476,0.903,0.563
0.496,1.05,1.39
0.535,1.04,0.539
0.557,0.926,0.621
0.451,1.04,0.614
0.487,0.968,1.50
0.483,1.03,0.579
0.424,0.946,0.537
0.560,1.06,0.558
0.431,0.963,0.568
0.475,0.940,0.566
0.502,0.934,0.519
0.542,1.04,0.536
0.553,0.912,0.585
0.560,1.06,0.544
0.480,0.965,0.609
0.489,0.917,0.621
0.532,0.967,0.629
0.553,0.924,0.567
0.435,0.850,0.545
0.476,0.862,0.524
0.494,0.936,0.516
0.534,0.914,0.583
0.545,1.02,0.574
0.542,1.07,0.542
0.485,1.15,0.524
0.498,0.905,0.512
0.536,0.897,0.990
0.545,1.06,0.547
0.420,1.03,0.611
0.484,0.971,0.609
0.485,1.05,0.607
0.541,0.993,0.554
0.554,0.948,0.591
0.540,0.953,0.529
0.493,1.04,0.511
0.537,0.904,0.691
0.537,1.07,0.523
0.542,1.06,0.536
0.542,0.894,0.526
0.502,1.14,0.531
0.535,1.05,0.545
0.535,0.930,0.564
0.509,0.972,0.524
0.484,1.05,0.615
0.479,0.881,0.587
0.419,0.930,0.628
0.413,0.940,0.522
0.415,1.05,0.525
0.404,0.895,0.520
0.485,1.08,0.974
0.476,1.03,0.560
0.420,0.883,0.579
0.417,1.12,0.511
0.419,1.03,0.541
0.417,0.871,0.576
0.403,0.934,0.565
0.437,1.04,0.529
0.493,1.03,0.556
0.492,0.925,1.06
0.450,0.938,0.550
0.459,1.02,0.515
0.449,0.884,0.546
0.404,1.08,0.599
0.513,1.04,0.589
0.386,0.885,0.558
0.391,1.06,0.521
0.466,1.02,0.518
0.493,0.933,0.588
0.414,0.904,0.523
0.534,1.63,0.523
0.512,1.02,0.615
0.475,1.08,0.597
0.495,0.979,0.624
0.542,1.03,0.579
0.537,0.876,0.536
0.554,1.05,0.516
0.477,1.03,0.708
0.507,0.885,0.540
0.538,0.929,0.520
0.530,1.03,0.542
0.542,0.899,0.528
0.500,1.05,0.543
0.495,1.03,0.526
0.426,0.883,0.524
0.538,1.00,0.605
0.432,1.04,0.664
0.474,1.00,0.538
0.504,0.970,0.582
0.430,1.04,0.537
0.530,0.971,0.626
0.591,0.925,0.610
0.485,0.962,0.547
0.505,1.03,0.587
0.436,0.904,0.589
0.426,1.05,0.606
0.556,1.04,0.633
0.472,0.881,0.689
0.509,0.979,0.628
0.536,1.03,0.648
0.535,1.01,0.656
0.530,0.946,0.512
0.482,1.05,0.579
0.512,1.04,0.640
0.536,0.941,0.623
0.532,0.941,0.578
0.547,1.02,0.649
0.493,0.880,0.500
0.506,1.08,0.579
0.541,1.02,0.676
0.541,0.887,1.59
0.538,0.884,0.553
0.484,1.05,0.596
0.549,1.02,0.554
0.534,0.945,0.589
0.494,0.923,0.585
0.455,1.03,0.598
0.485,0.864,1.03
0.422,0.903,0.569
0.409,1.04,0.600
0.410,0.901,0.623
0.476,1.05,0.548
0.468,1.04,0.596
0.491,0.935,0.529
