bigflood,bigfloodDPDK,bigfloodeBPF,flood,floodDPDK,floodeBPF,ping,pingDPDK,pingeBPF
0.452,1.13,0.517,0.039,0.279,0.050,0.122,0.380,0.178
0.517,1.01,0.622,0.039,0.279,0.050,0.121,0.381,0.178
0.380,1.00,0.614,0.038,0.280,0.051,0.130,0.379,0.207
0.512,1.13,0.583,0.039,0.287,0.049,0.132,0.379,0.174
0.461,0.996,0.526,0.039,0.277,0.050,0.120,0.382,0.198
0.476,1.01,0.558,0.039,0.276,0.051,0.121,0.385,0.180
0.401,1.12,0.618,0.039,0.275,0.049,0.121,0.385,0.157
0.422,0.887,0.634,0.039,0.281,0.049,0.120,0.381,0.262
0.523,1.01,0.525,0.039,0.275,0.057,0.121,0.381,0.180
0.409,1.13,0.518,0.040,0.270,0.051,0.121,0.386,0.203
0.437,0.995,0.531,0.039,0.262,0.102,0.119,0.380,0.172
0.473,1.01,0.558,0.039,0.293,0.048,0.119,0.381,0.171
0.476,1.13,0.648,0.039,0.276,0.050,0.120,0.380,0.153
0.564,0.887,0.568,0.039,0.274,0.049,0.120,0.396,0.191
0.414,1.01,0.513,0.039,0.382,0.058,0.089,0.382,0.202
0.487,1.13,0.509,0.040,0.282,0.050,0.120,0.385,0.167
0.470,0.999,0.584,0.039,0.280,0.050,0.121,1.50,0.204
0.477,1.01,0.567,0.039,0.279,0.093,0.121,0.375,0.169
0.427,1.12,0.518,0.039,0.268,0.048,0.121,0.376,0.202
0.479,0.887,0.520,0.039,0.266,0.050,0.120,0.378,0.165
0.394,1.01,0.560,0.039,0.278,0.050,0.123,0.385,0.179
0.404,1.13,0.827,0.039,0.266,0.056,0.121,0.385,0.166
0.480,0.878,0.528,0.039,0.277,0.050,0.121,0.378,0.167
0.484,1.12,0.527,0.103,0.277,0.050,0.089,0.380,0.199
0.396,1.01,0.544,0.043,0.276,0.049,0.141,0.380,0.160
0.413,1.01,0.577,0.039,0.285,0.053,0.120,0.379,0.170
0.504,1.10,0.568,0.040,0.283,0.069,0.120,0.384,0.171
0.423,1.02,0.524,0.053,0.280,0.046,0.120,0.380,0.170
0.483,0.883,0.524,0.041,0.278,0.056,0.122,0.382,0.192
0.488,1.02,0.536,0.043,0.275,0.049,0.120,0.379,0.183
0.537,1.12,0.989,0.040,0.261,0.053,0.132,0.386,0.152
0.408,1.01,0.549,0.040,0.267,0.049,0.121,0.377,0.175
0.499,1.10,0.609,0.040,0.262,0.049,0.089,0.394,0.188
0.499,1.02,0.606,0.040,0.280,0.055,0.120,0.384,0.176
0.505,1.00,0.607,0.039,0.275,0.055,0.121,1.50,0.172
0.414,1.01,0.567,0.040,0.281,0.057,0.121,0.379,0.134
0.422,1.12,0.518,0.041,0.283,0.064,0.119,0.377,0.188
0.397,1.01,0.583,0.040,0.284,0.055,0.121,0.376,0.176
0.420,0.911,0.523,0.041,0.276,0.084,0.120,0.380,0.182
0.466,1.12,0.821,0.040,0.262,0.048,0.122,0.381,0.155
0.478,0.877,0.518,0.040,0.262,0.056,0.120,0.385,0.208
0.412,1.01,0.534,0.041,0.273,0.100,0.102,0.385,0.177
0.528,2.34,0.534,0.040,0.274,0.115,0.121,0.380,0.162
0.502,1.07,0.518,0.040,0.283,0.105,0.125,0.378,0.207
0.428,1.12,0.575,0.041,0.262,0.106,0.120,0.383,0.160
0.470,0.893,0.577,0.040,0.275,0.095,0.121,0.380,0.177
0.421,1.04,0.520,0.040,0.275,0.056,0.121,0.388,0.169
0.413,1.02,0.550,0.040,0.282,0.050,0.121,0.379,0.203
0.434,1.01,0.609,0.040,0.313,0.051,0.122,0.380,0.167
0.464,1.13,0.562,0.042,0.267,0.104,0.121,0.377,0.186
0.430,1.11,0.559,0.039,0.275,0.094,0.089,0.383,0.178
0.474,1.01,0.564,0.040,0.277,0.049,0.121,0.386,0.192
0.390,1.01,0.625,0.040,0.275,0.056,0.122,1.49,0.162
0.540,0.994,0.603,0.040,0.277,0.051,0.121,0.376,0.178
0.411,1.01,0.549,0.039,0.279,0.049,0.121,0.379,0.201
0.475,1.03,0.579,0.040,0.265,0.052,0.122,0.395,0.196
0.489,1.11,0.531,0.041,0.277,0.061,0.122,0.379,0.166
0.493,1.01,0.585,0.040,0.274,0.080,0.121,0.380,0.198
0.439,1.01,0.546,0.041,0.275,0.050,0.121,0.374,0.170
0.404,1.12,0.523,0.040,0.295,0.056,0.088,0.382,0.182
0.407,0.888,0.518,0.041,0.276,0.052,0.120,0.385,0.150
0.524,1.04,0.571,0.040,0.275,0.050,0.121,0.379,0.175
0.457,1.11,0.601,0.040,0.276,0.051,0.121,0.378,0.145
0.507,1.01,0.946,0.041,0.279,0.050,0.123,0.379,0.207
0.419,1.01,0.609,0.040,0.274,0.048,0.120,0.378,0.196
0.410,1.02,0.639,0.041,0.266,0.051,0.121,0.378,0.157
0.519,1.01,0.530,0.041,0.260,0.051,0.120,0.386,0.167
0.413,1.01,0.565,0.041,0.282,0.056,0.120,0.380,0.163
0.488,1.11,0.579,0.041,0.280,0.091,0.089,0.387,0.161
0.488,1.01,0.569,0.040,0.275,0.049,0.121,0.382,0.155
0.413,0.939,0.552,0.040,0.352,0.050,0.122,1.49,0.194
0.432,1.06,0.688,0.040,0.275,0.049,0.121,0.377,0.195
0.530,0.954,0.549,0.041,0.279,0.053,0.119,0.378,0.193
0.511,1.06,0.563,0.041,0.260,0.049,0.121,0.374,0.175
0.484,0.987,0.570,0.040,0.273,0.057,0.121,0.379,0.152
0.416,0.985,0.550,0.041,0.267,0.106,0.129,0.381,0.180
0.489,1.10,0.562,0.041,0.273,0.047,0.121,0.380,0.190
0.483,1.11,1.39,0.041,0.224,0.053,0.083,0.383,0.150
